Name,Thai Name,Coordinates
Ko Kradat,เกาะกระดาด,11.840°N 102.5275°E
Mu Ko Rang,หมู่เกาะรัง,11.80°N 102.387°E
Ko Rang,เกาะรัง,11.80°N 102.387°E
Ko Tun,เกาะตูน,11.774°N 102.393°E
Ko Phing,เกาะพิง,11°43′13″N99°47′30″E
Ko Phang,เกาะพัง,11°42′32″N99°47′18″E
Ko Sai,เกาะทราย,12.483°N 100.000°E
Ko Sadao,เกาะสะเดา,12.466°N 100.000°E
Ko Khi Nok,เกาะขี้นก,12.483°N 100.000°E
Ko Lak,เกาะหลัก,11°47′50″N99°48′55″E
Ko La,เกาะละ,11°47′38″N99°48′54″E
Ko Rom,เกาะร่ม,11°47′27″N99°48′58″E
Ko Raet,เกาะแรด,11°47′38″N99°49′24″E
Ko Chan,เกาะจาน,11°37′25″N99°46′27″E
Ko Thai Chan,เกาะท้ายจาน,11°37′12″N99°46′25″E
Ko Nom Sao,เกาะนมสาว,12°13′52″N100°0′17″E
Ko Kho Ram,เกาะโครำ,12°14′33″N100°0′32″E
Ko Rawang,เกาะระวาง,12°13′34″N100°0′36″E
Ko Rawing,เกาะระวิง,12°13′28″N100°0′34″E
Ko Sattakut,เกาะสัตกูต,12.200°N 100.016°E
Ko Hua Pin,เกาะหัวพิน,11°13′0″N99°34′47″E
Ko Thalu,เกาะทะลุ,11°4′26″N99°33′33″E
Ko Sing,เกาะสิงข์,11°3′19″N99°31′31″E
Ko Sang,เกาะสังข์,11°1′52″N99°31′1″E
Ko Ram Ra,เกาะร่ำรา,11°24′8″N99°36′20″E
Ko Lueam,เกาะเหลื่อม,11°45′34″N99°49′54″E
Ko Aen,เกาะแอ่น,11°45′59″N99°48′35″E
Ko Wiang,เกาะเวียง,10°50′45″N99°28′54″E
Ko Phra,เกาะพระ,10°51′51″N99°29′20″E
Ko Yo,เกาะยอ,10°51′40″N99°29′10″E
Ko Khi Nok,เกาะขี้นก,10°50′57″N99°28′25″E
Ko Si Kong,เกาะซีกง,10°50′19″N99°29′50″E
Ko Rang,เกาะรัง,10°49′17″N99°29′31″E
Ko Khai,เกาะไข่,10°42′2″N99°24′37″E
Ko Chorakhe,เกาะจรเข้,10°33′22″N99°22′44″E
Ko Ngam Yai,เกาะงามใหญ่,10°29′36″N99°25′13″E
Ko Ngam Noi,เกาะงามน้อย,10°29′6″N99°25′5″E
Ko Kalok,เกาะกะโหลก,10°28′33″N99°22′9″E
Ko Samet,เกาะเสม็ด,10°26′20″N99°17′45″E
Ko Sak,เกาะสาก,10°25′28″N99°18′56″E
Ko Maphrao,เกาะมะพร้าว,10°23′25″N99°18′56″E
Ko Matra,เกาะมาตรา,10°23′46″N99°17′38″E
Ko Lak Raet,เกาะหลักแรด,10°22′49″N99°19′40″E
Ko I Raet,เกาะอีแรด,10°22′32″N99°19′18″E
Ko Lawa,เกาะละวะ,10°21′47″N99°18′35″E
Ko Ka,เกาะกา,10°20′52″N99°17′42″E
Ko Thong Lang,เกาะทองหลาง,10°19′24″N99°16′53″E
Ko Wang Ka Chio,เกาะวังกะจิว,10°19′7″N99°18′2″E
Ko Kra,,10.25°N 99.25°E
Ko Ran Gai,,
Ko Ran Bod,,
Ko Kula,,10.25°N 99.25°E
Ko Klaep,,
Ko Khram,,
Ko Samui,เกาะสมุย,9.50°N 100.00°E
Ko Pha Ngan,เกาะพะงัน,9°45′N 100°02′E
Ko Nang Yuan,,10.09°N 99.838°E
Ko Nan,,
Ko Tao,เกาะเต่า,10.09°N 99.838°E
Ko Phaluai,,
Ko Tu,,
Ko Khluai,,
Ko Lak,,
Ko Mu Dang,,
Ko Tao Pun,,
Ko Kang Tak,,
Ko Pai Luek,,
Ko Wua Te,,
Ko Chae,,
Ko Wua Talah,,
Ko Phi,,
Ko Mae Koh,,
Ko Hin Tak,,
Ko Sam Sao,,
Ko Ao Rat,,
Ko Pae Yat,,
Ko Pra,,
Ko Wua Kantang,,
Ko Chang Trom,,
Ko Sano Ban,,
Ko Lae,,
Ko Wa Noi,,
Ko Wa Yai,,
Ko Hin Dap,,
Ko Nai Put,,
Ko Ka,,
Ko Rod,,
Ko Ngam,,
Ko Chang (Ranong),,
Ko Sin Hai,,
Ko Dom,,
Ko Plai,,
Ko Talu (Rayong),,
Ko Phayam,เกาะพยาม,
Ko Kang Khao,เกาะค้างคาว,
